blockchain,project,version,block_month,block_date,block_time,block_number,token_bought_symbol,token_sold_symbol,token_pair,token_bought_amount,token_sold_amount,token_bought_amount_raw,token_sold_amount_raw,amount_usd,token_bought_address,token_sold_address,taker,maker,project_contract_address,tx_hash,tx_from,tx_to,evt_index
fantom,beethoven_x,1,2024-10-01 0:00,2024-10-28 0:00,2024-10-28 20:09,95909508,WFTM,sFTMX,sFTMX-WFTM,47.31091073,41.2808352,47310910733023768733,41280835197236761300,32.13347595,0x21be370d5312f44cb42ce377bc9b8a0cef1a4c83,0xd7028092c830b5c8fce061af2e593413ebbc1fc1,0x14f4709483ae2fb65f7fe5e9bf8436f2857229bd,,0x593000b762de3c465855336e95c8bb46080af064,0xc45332524a6e849f2450c6cf178504242b7ba9449814bef94feba710d510e776,0x14f4709483ae2fb65f7fe5e9bf8436f2857229bd,0x20dd72ed959b6147912c2e529f0a0c651c33c9ce,0
optimism,uniswap,3,2024-10-01 0:00,2024-10-28 0:00,2024-10-28 20:09,127273702,WETH,WLD,WETH-WLD,0.003913275562,4.931546796,3913275562377916,4931546795727124621,9.821147679,0x4200000000000000000000000000000000000006,0xdc6ff44d5d932cbd77b52e5612ba0529dc6226f1,0x802b65b5d9016621e66003aed0b16615093f328b,,0x2ae3d6096d8215ac2acddf30c60caa984ea5debe,0xc5f71ba10fe18d11dc28fa8651f219c4db531947eef187305c590de643b051f9,0x28264cffe9369db93579d2370053024fb59456bb,0x802b65b5d9016621e66003aed0b16615093f328b,53
gnosis,balancer,2,2024-10-01 0:00,2024-10-28 0:00,2024-10-28 20:09,36739726,WXDAI,GNO,GNO-WXDAI,0.001286726696,0.000005985921447,1286726696064411,5985921447012,0.001287663433,0xe91d153e0b41518a2ce8dd3d7944fa863463a97d,0x9c58bacc331c9aa871afd802db6379a98e80cedb,0xf4b01595dcc8c48cf1f92ca2a5631ebea84a0393,,0x5519e2d8a0af0944ea639c6dbad69a174de3ecf8,0x0bb83449807e2cc116000d7338dd6bd8d234f2f12f4ce79e487c1d64db7b6513,0xf4b01595dcc8c48cf1f92ca2a5631ebea84a0393,0x44f4c6d8fe7fec775207be98cdf64ac9a5974351,17
optimism,uniswap,3,2024-10-01 0:00,2024-10-28 0:00,2024-10-28 20:09,127273701,OP,WETH,OP-WETH,43.13361596,0.027,43133615958200169047,2.7E+16,67.71977705,0x4200000000000000000000000000000000000042,0x4200000000000000000000000000000000000006,0xcb6586874cc04b01cc4fdb777de502cea7b3d6c1,,0xfc1f3296458f9b2a27a0b91dd7681c4020e09d05,0x9fd90d0238acbd4e3518570496f9704fecde9d4b5d52fed92296eb49be1be5fc,0xcb6586874cc04b01cc4fdb777de502cea7b3d6c1,0x1111111254eeb25477b68fb85ed929f73a960582,5
base,balancer,2,2024-10-01 0:00,2024-10-28 0:00,2024-10-28 20:09,21678416,OLAS,USDC,OLAS-USDC,199.8955734,412.128657,199895573418046788349,412128657,412.2494107,0x54330d28ca3357f294334bdc454a032e7f353416,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,0xba95718a52b5a3dba749a7641712dc05a3550d4f,,0x5332584890d6e415a6dc910254d6430b8aab7e69,0x44b41085a1dc36bef37b6c8828c6504533252901225df31a048bace9bb51c8c6,0xba95718a52b5a3dba749a7641712dc05a3550d4f,0xba12222222228d8ba445958a75a0704d566bf2c8,52
base,balancer,2,2024-10-01 0:00,2024-10-28 0:00,2024-10-28 20:09,21678415,DOG,WETH,DOG-WETH,3889.422245,0.00864060344,3889422244818280827830,8640603439618796,21.68532245,0xafb89a09d82fbde58f18ac6437b3fc81724e4df6,0x4200000000000000000000000000000000000006,0x40786472eddbf02e9ce122adef40bda90c20302c,,0x0dce7d1e1fbfc85c31bd04f890027738f00e580b,0xbe3280fe4e7dd6d7b2aba36f5308e9f2ab65bfeb340203105241a4cbd14fccac,0x40786472eddbf02e9ce122adef40bda90c20302c,0x19ceead7105607cd444f5ad10dd51356436095a1,368
optimism,uniswap,3,2024-10-01 0:00,2024-10-28 0:00,2024-10-28 20:09,127273700,WETH,WLD,WETH-WLD,0.03258799943,41.06159113,32587999434275586,4.10616E+19,81.78610218,0x4200000000000000000000000000000000000006,0xdc6ff44d5d932cbd77b52e5612ba0529dc6226f1,0x802b65b5d9016621e66003aed0b16615093f328b,,0x2ae3d6096d8215ac2acddf30c60caa984ea5debe,0xe163ff3f44c134d9077e01ae4a3991e9658a195813b10d80699d703c8c36efad,0x28264cffe9369db93579d2370053024fb59456bb,0x802b65b5d9016621e66003aed0b16615093f328b,76
optimism,uniswap,3,2024-10-01 0:00,2024-10-28 0:00,2024-10-28 20:09,127273700,,WETH,,,0.0001145954238,1E+18,114595423836437,0.2876001352,0xef660b4a13da8daf66d69602b2270e6633007927,0x4200000000000000000000000000000000000006,0x777777edf27ac61671e3d5718b10bf6a8802f9f1,,0x227f432a82fa6a04826ed6fe9f95f4e0acf091aa,0x98782c534d258ad63d8798b42959783a349d776d6ad18c3e708ba4fa6145108d,0xb426cc17884156a380c13e69ef80d70243d2a77e,0x777777edf27ac61671e3d5718b10bf6a8802f9f1,42
optimism,zipswap,1,2024-10-01 0:00,2024-10-28 0:00,2024-10-28 20:09,127273700,WETH,WBTC,WBTC-WETH,0.0002122270508,0.00000767,212227050751178,767,0.5326262293,0x4200000000000000000000000000000000000006,0x68f180fcce6836688e9084f035309e29bf0a2095,0x9b99e9c620b2e2f09e0b9fced8f679eecf2653fe,0x251de0f0368c472bba2e1c8f5db5ac7582b5f847,0x251de0f0368c472bba2e1c8f5db5ac7582b5f847,0x3bbd819e268102f4fd601f91c262e4cd69c6b8f6121ac277a3832f99cb42e83c,0x1c69ac355eca16f4ee03a1f3f8aea9c9e193a0f7,0x3335733c454805df6a77f825f266e136fb4a3333,15
gnosis,balancer,2,2024-10-01 0:00,2024-10-28 0:00,2024-10-28 20:09,36739725,WXDAI,USDC,USDC-WXDAI,68.43801777,68.43682,68438017768805961307,68436820,68.48784065,0xe91d153e0b41518a2ce8dd3d7944fa863463a97d,0xddafbb505ad214d7b80b1f830fccc89b60fb7a83,0xb93c4aa14a89d393ef2f83eb96d7ce3947cd440e,,0x2086f52651837600180de173b09470f54ef74910,0x2966edab87938f2271a345b06360003c2ed2bf81858216a63cd88cc2be63e1c6,0xb93c4aa14a89d393ef2f83eb96d7ce3947cd440e,0x6130c3eda7b57078fa582b41a49ec25506420800,2
